"BehaviorSpace results (NetLogo 5.0.5)"
"arthur_model.nlogo"
"ten-techs"
"05/25/2014 20:28:32:726 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-6","6","-6","6"
"[run number]","numTechnologies","isRandom","numDomains","preferencesMinusNetwork","setupCost","ticksCount","preferredMinusOtherTech","[step]","misfits","item 0 adopters","item 1 adopters","item 2 adopters","item 3 adopters","item 4 adopters","item 5 adopters","item 6 adopters","item 7 adopters","item 8 adopters","item 9 adopters"
"3","10","false","1","0.8","0","1000","0.8","1000","856","0","2","2","0","3","0","0","0","2","991"
"2","10","false","1","0.8","0","1000","0.8","1000","897","4","2","0","0","2","0","0","990","2","0"
"1","10","false","1","0.8","0","1000","0.8","1000","881","0","0","1","0","0","1","0","0","0","998"
"4","10","false","1","0.8","0","1000","0.8","1000","900","0","0","0","0","0","0","2","1","997","0"
"5","10","false","1","0.8","0","1000","0.8","1000","891","0","0","997","0","1","1","0","1","0","0"
"6","10","false","1","0.8","0","1000","0.8","1000","874","1","1","0","2","989","1","1","1","2","2"
"8","10","false","1","0.8","0","1000","0.8","1000","879","1","1","2","0","1","0","1","0","0","994"
"7","10","false","1","0.8","0","1000","0.8","1000","884","0","1","2","1","984","3","3","1","3","2"
"9","10","false","1","0.8","0","1000","0.8","1000","900","3","1","1","3","0","0","2","987","1","2"
"11","10","false","1","0.8","0","1000","0.8","1000","896","1","2","1","1","989","2","0","2","0","2"
"10","10","false","1","0.8","0","1000","0.8","1000","880","2","2","0","1","2","984","3","2","3","1"
"12","10","false","1","0.8","0","1000","0.8","1000","891","1","1","0","0","0","997","0","0","0","1"
"13","10","false","1","0.8","0","1000","0.8","1000","882","0","1","1","1","1","1","2","2","990","1"
"14","10","false","1","0.8","0","1000","0.8","1000","891","1","991","2","0","1","1","1","2","0","1"
"15","10","false","1","0.8","0","1000","0.8","1000","887","0","990","1","2","2","0","3","0","1","1"
"16","10","false","1","0.8","0","1000","0.8","1000","900","0","0","1","1","0","0","1","0","0","997"
"17","10","false","1","0.8","0","1000","0.8","1000","883","1","0","0","0","2","0","0","997","0","0"
"18","10","false","1","0.8","0","1000","0.8","1000","874","0","0","1","0","2","0","1","1","1","994"
"19","10","false","1","0.8","0","1000","0.8","1000","903","0","3","996","0","0","0","0","0","1","0"
"20","10","false","1","0.8","0","1000","0.8","1000","897","1","0","1","2","988","2","1","2","3","0"
"21","10","false","2","0.8","0","1000","0.8","1000","896","2","0","1","0","1","1","995","0","0","0"
"22","10","false","2","0.8","0","1000","0.8","1000","916","1","0","997","1","0","0","0","0","1","0"
"23","10","false","2","0.8","0","1000","0.8","1000","892","0","0","0","1000","0","0","0","0","0","0"
"24","10","false","2","0.8","0","1000","0.8","1000","900","0","0","0","1","2","997","0","0","0","0"
"25","10","false","2","0.8","0","1000","0.8","1000","892","0","0","0","0","999","0","1","0","0","0"
"26","10","false","2","0.8","0","1000","0.8","1000","885","1","1","0","996","1","1","0","0","0","0"
"27","10","false","2","0.8","0","1000","0.8","1000","913","0","0","0","0","1000","0","0","0","0","0"
"28","10","false","2","0.8","0","1000","0.8","1000","889","0","0","0","0","1","1","1","0","997","0"
"29","10","false","2","0.8","0","1000","0.8","1000","886","0","0","0","0","3","996","0","0","1","0"
"30","10","false","2","0.8","0","1000","0.8","1000","901","1000","0","0","0","0","0","0","0","0","0"
"31","10","false","2","0.8","0","1000","0.8","1000","896","1","1","2","1","1","0","0","0","992","2"
"32","10","false","2","0.8","0","1000","0.8","1000","874","1","0","0","0","0","3","993","1","1","1"
"33","10","false","2","0.8","0","1000","0.8","1000","902","0","0","0","1","1","1","0","997","0","0"
"35","10","false","2","0.8","0","1000","0.8","1000","911","998","0","0","1","0","0","0","0","1","0"
"34","10","false","2","0.8","0","1000","0.8","1000","897","1","1","2","2","3","1","1","0","988","1"
"36","10","false","2","0.8","0","1000","0.8","1000","908","0","0","0","1","996","2","0","0","0","1"
"38","10","false","2","0.8","0","1000","0.8","1000","903","0","996","0","0","1","0","0","2","1","0"
"37","10","false","2","0.8","0","1000","0.8","1000","895","0","0","1000","0","0","0","0","0","0","0"
"39","10","false","2","0.8","0","1000","0.8","1000","905","0","0","0","1","1","0","0","997","0","1"
"40","10","false","2","0.8","0","1000","0.8","1000","912","0","0","0","1","0","0","0","999","0","0"
"41","10","false","5","0.8","0","1000","0.8","1000","888","0","0","0","0","0","0","0","0","0","1000"
"42","10","false","5","0.8","0","1000","0.8","1000","885","0","1","1","1","1","994","0","2","0","0"
"43","10","false","5","0.8","0","1000","0.8","1000","885","996","1","0","0","0","1","1","0","0","1"
"44","10","false","5","0.8","0","1000","0.8","1000","907","998","0","0","1","0","0","0","1","0","0"
"45","10","false","5","0.8","0","1000","0.8","1000","899","0","0","0","998","0","0","0","2","0","0"
"46","10","false","5","0.8","0","1000","0.8","1000","905","0","999","0","0","0","0","0","0","0","1"
"47","10","false","5","0.8","0","1000","0.8","1000","881","0","1","0","0","1","0","0","998","0","0"
"48","10","false","5","0.8","0","1000","0.8","1000","887","1","0","0","998","0","0","0","0","1","0"
"49","10","false","5","0.8","0","1000","0.8","1000","900","1","0","0","0","0","4","0","994","0","1"
"50","10","false","5","0.8","0","1000","0.8","1000","892","1","0","0","0","1","0","1","0","0","997"
"51","10","false","5","0.8","0","1000","0.8","1000","898","0","0","996","0","1","1","1","0","0","1"
"53","10","false","5","0.8","0","1000","0.8","1000","886","0","0","0","0","0","0","0","0","1","999"
"52","10","false","5","0.8","0","1000","0.8","1000","900","999","1","0","0","0","0","0","0","0","0"
"54","10","false","5","0.8","0","1000","0.8","1000","885","0","0","995","1","0","0","2","1","0","1"
"55","10","false","5","0.8","0","1000","0.8","1000","895","996","1","1","1","1","0","0","0","0","0"
"56","10","false","5","0.8","0","1000","0.8","1000","897","0","0","0","0","1","0","997","2","0","0"
"57","10","false","5","0.8","0","1000","0.8","1000","888","1","0","0","0","0","0","999","0","0","0"
"58","10","false","5","0.8","0","1000","0.8","1000","899","0","0","0","0","0","0","999","1","0","0"
"59","10","false","5","0.8","0","1000","0.8","1000","881","0","0","0","0","0","0","1000","0","0","0"
"60","10","false","5","0.8","0","1000","0.8","1000","893","0","0","997","0","0","2","0","1","0","0"
"61","10","false","10","0.8","0","1000","0.8","1000","880","1","91","0","0","0","1","906","0","0","1"
"62","10","false","10","0.8","0","1000","0.8","1000","897","0","2","1","6","0","1","1","0","1","988"
"63","10","false","10","0.8","0","1000","0.8","1000","891","0","4","0","1","0","0","579","0","0","416"
"64","10","false","10","0.8","0","1000","0.8","1000","905","0","5","0","1","0","1","992","0","0","1"
"65","10","false","10","0.8","0","1000","0.8","1000","895","0","0","0","0","1","997","0","1","1","0"
"66","10","false","10","0.8","0","1000","0.8","1000","886","1","0","603","0","0","0","0","0","395","1"
"67","10","false","10","0.8","0","1000","0.8","1000","896","1","1","0","0","2","0","598","0","1","397"
"68","10","false","10","0.8","0","1000","0.8","1000","906","2","997","0","0","0","1","0","0","0","0"
"69","10","false","10","0.8","0","1000","0.8","1000","887","0","0","0","1","0","1","0","615","0","383"
"70","10","false","10","0.8","0","1000","0.8","1000","897","0","1","1","4","0","0","0","0","994","0"
"71","10","false","10","0.8","0","1000","0.8","1000","900","0","0","1","0","997","1","0","0","1","0"
"72","10","false","10","0.8","0","1000","0.8","1000","897","0","995","0","1","1","0","0","0","2","1"
"73","10","false","10","0.8","0","1000","0.8","1000","891","1","0","1","2","0","0","2","1","1","992"
"74","10","false","10","0.8","0","1000","0.8","1000","893","1","1","997","0","1","0","0","0","0","0"
"75","10","false","10","0.8","0","1000","0.8","1000","906","998","0","2","0","0","0","0","0","0","0"
"76","10","false","10","0.8","0","1000","0.8","1000","897","0","1","0","0","0","996","0","2","0","1"
"77","10","false","10","0.8","0","1000","0.8","1000","899","937","0","1","1","1","0","0","59","0","1"
"78","10","false","10","0.8","0","1000","0.8","1000","890","0","0","2","0","0","0","3","2","993","0"
"79","10","false","10","0.8","0","1000","0.8","1000","894","0","0","2","0","993","0","0","5","0","0"
"80","10","false","10","0.8","0","1000","0.8","1000","916","0","0","384","0","0","0","296","319","0","1"
"81","10","false","25","0.8","0","1000","0.8","1000","889","0","2","1","7","0","0","0","218","768","4"
"82","10","false","25","0.8","0","1000","0.8","1000","876","11","0","0","1","965","11","0","10","1","1"
"83","10","false","25","0.8","0","1000","0.8","1000","877","0","3","0","3","0","1","279","2","1","711"
"84","10","false","25","0.8","0","1000","0.8","1000","878","21","0","6","485","3","0","3","480","1","1"
"85","10","false","25","0.8","0","1000","0.8","1000","872","0","0","2","455","1","1","361","1","1","178"
"86","10","false","25","0.8","0","1000","0.8","1000","889","0","382","2","7","607","1","0","0","1","0"
"87","10","false","25","0.8","0","1000","0.8","1000","894","3","310","0","0","0","3","241","2","439","2"
"88","10","false","25","0.8","0","1000","0.8","1000","893","0","346","2","1","1","477","0","0","0","173"
"89","10","false","25","0.8","0","1000","0.8","1000","889","0","1","0","991","0","0","1","2","5","0"
"90","10","false","25","0.8","0","1000","0.8","1000","876","673","2","0","7","1","1","3","0","312","1"
"91","10","false","25","0.8","0","1000","0.8","1000","878","590","0","149","0","1","1","83","174","1","1"
"92","10","false","25","0.8","0","1000","0.8","1000","902","2","942","0","0","0","4","0","1","1","50"
"93","10","false","25","0.8","0","1000","0.8","1000","896","1","3","406","582","0","2","5","0","1","0"
"94","10","false","25","0.8","0","1000","0.8","1000","875","1","0","0","0","0","3","285","1","2","708"
"95","10","false","25","0.8","0","1000","0.8","1000","897","2","755","0","3","1","0","192","0","0","47"
"96","10","false","25","0.8","0","1000","0.8","1000","890","2","0","1","1","0","162","5","0","829","0"
"97","10","false","25","0.8","0","1000","0.8","1000","889","0","0","0","2","0","2","0","0","995","1"
"98","10","false","25","0.8","0","1000","0.8","1000","901","0","3","312","0","1","1","675","8","0","0"
"99","10","false","25","0.8","0","1000","0.8","1000","892","0","474","0","0","0","1","524","1","0","0"
"100","10","false","25","0.8","0","1000","0.8","1000","879","0","319","0","308","0","7","1","1","363","1"
"101","10","false","50","0.8","0","1000","0.8","1000","907","403","0","3","0","132","456","1","1","1","3"
"102","10","false","50","0.8","0","1000","0.8","1000","889","1","0","193","1","258","0","27","517","0","3"
"103","10","false","50","0.8","0","1000","0.8","1000","896","0","88","0","305","129","319","103","2","2","52"
"104","10","false","50","0.8","0","1000","0.8","1000","890","365","13","0","333","0","1","277","7","0","4"
"105","10","false","50","0.8","0","1000","0.8","1000","868","7","0","1","245","182","4","392","16","3","150"
"106","10","false","50","0.8","0","1000","0.8","1000","878","0","3","1","29","1","1","502","458","1","4"
"108","10","false","50","0.8","0","1000","0.8","1000","892","186","10","68","66","3","279","1","386","1","0"
"107","10","false","50","0.8","0","1000","0.8","1000","883","2","1","79","76","10","579","136","0","1","116"
"109","10","false","50","0.8","0","1000","0.8","1000","894","2","528","221","2","242","0","0","1","3","1"
"111","10","false","50","0.8","0","1000","0.8","1000","885","0","1","2","98","2","1","459","322","111","4"
"110","10","false","50","0.8","0","1000","0.8","1000","874","11","43","6","5","3","3","0","4","5","920"
"112","10","false","50","0.8","0","1000","0.8","1000","893","27","7","0","3","1","2","0","858","101","1"
"114","10","false","50","0.8","0","1000","0.8","1000","879","1","222","0","4","3","3","1","362","402","2"
"113","10","false","50","0.8","0","1000","0.8","1000","895","178","434","298","1","0","1","2","82","2","2"
"115","10","false","50","0.8","0","1000","0.8","1000","872","0","206","228","2","0","0","562","1","0","1"
"116","10","false","50","0.8","0","1000","0.8","1000","892","0","8","3","0","321","269","6","4","266","123"
"117","10","false","50","0.8","0","1000","0.8","1000","887","6","299","80","180","289","142","1","1","0","2"
"118","10","false","50","0.8","0","1000","0.8","1000","868","2","418","232","103","2","5","103","132","1","2"
"119","10","false","50","0.8","0","1000","0.8","1000","877","54","406","1","4","3","0","8","177","1","346"
"120","10","false","50","0.8","0","1000","0.8","1000","886","158","1","2","3","540","1","2","1","1","291"
"121","10","true","1","0.8","0","1000","0.8","1000","898","80","207","261","60","136","4","95","134","19","4"
"122","10","true","1","0.8","0","1000","0.8","1000","878","94","94","12","18","26","88","224","123","74","247"
"123","10","true","1","0.8","0","1000","0.8","1000","883","246","100","24","3","41","100","125","34","167","160"
"124","10","true","1","0.8","0","1000","0.8","1000","890","98","101","111","94","18","129","17","20","166","246"
"125","10","true","1","0.8","0","1000","0.8","1000","891","135","250","125","30","72","71","83","45","173","16"
"126","10","true","1","0.8","0","1000","0.8","1000","886","135","40","17","45","23","156","223","56","210","95"
"127","10","true","1","0.8","0","1000","0.8","1000","899","22","24","69","140","255","43","122","138","103","84"
"128","10","true","1","0.8","0","1000","0.8","1000","896","60","95","106","89","18","116","269","87","94","66"
"129","10","true","1","0.8","0","1000","0.8","1000","887","99","70","1","149","18","119","199","45","90","210"
"130","10","true","1","0.8","0","1000","0.8","1000","889","3","72","114","13","115","74","220","125","247","17"
"131","10","true","1","0.8","0","1000","0.8","1000","888","61","7","152","49","70","118","61","152","283","47"
"132","10","true","1","0.8","0","1000","0.8","1000","886","130","176","38","181","195","47","89","9","31","104"
"133","10","true","1","0.8","0","1000","0.8","1000","880","19","50","23","105","192","59","246","0","62","244"
"134","10","true","1","0.8","0","1000","0.8","1000","889","61","35","22","230","27","156","24","126","313","6"
"135","10","true","1","0.8","0","1000","0.8","1000","891","8","119","28","126","106","72","144","213","130","54"
"136","10","true","1","0.8","0","1000","0.8","1000","891","75","89","298","158","36","73","97","30","114","30"
"137","10","true","1","0.8","0","1000","0.8","1000","881","155","55","126","36","22","2","115","49","39","401"
"138","10","true","1","0.8","0","1000","0.8","1000","887","231","15","27","40","50","156","110","165","20","186"
"139","10","true","1","0.8","0","1000","0.8","1000","893","112","86","43","141","147","85","86","89","188","23"
"141","10","true","2","0.8","0","1000","0.8","1000","903","23","110","109","134","67","88","7","259","113","90"
"140","10","true","1","0.8","0","1000","0.8","1000","886","80","69","194","10","84","47","141","44","292","39"
"142","10","true","2","0.8","0","1000","0.8","1000","893","22","215","68","0","70","4","337","24","240","20"
"143","10","true","2","0.8","0","1000","0.8","1000","879","16","177","18","187","34","187","80","144","1","156"
"144","10","true","2","0.8","0","1000","0.8","1000","905","18","0","15","259","6","106","463","13","3","117"
"145","10","true","2","0.8","0","1000","0.8","1000","889","102","39","64","10","362","28","64","195","136","0"
"146","10","true","2","0.8","0","1000","0.8","1000","911","84","0","358","25","67","76","10","84","13","283"
"147","10","true","2","0.8","0","1000","0.8","1000","909","104","24","40","6","215","3","119","449","40","0"
"148","10","true","2","0.8","0","1000","0.8","1000","888","41","9","107","7","77","66","121","318","35","219"
"149","10","true","2","0.8","0","1000","0.8","1000","873","33","26","154","94","72","50","199","301","10","61"
"150","10","true","2","0.8","0","1000","0.8","1000","870","22","34","21","268","121","4","11","124","267","128"
"151","10","true","2","0.8","0","1000","0.8","1000","881","4","58","1","293","430","3","105","10","80","16"
"152","10","true","2","0.8","0","1000","0.8","1000","893","198","84","27","92","32","37","91","221","1","217"
"153","10","true","2","0.8","0","1000","0.8","1000","898","152","109","42","6","34","29","96","104","171","257"
"154","10","true","2","0.8","0","1000","0.8","1000","907","35","12","132","75","116","385","105","2","109","29"
"155","10","true","2","0.8","0","1000","0.8","1000","912","42","156","119","0","27","335","291","0","1","29"
"156","10","true","2","0.8","0","1000","0.8","1000","889","16","424","0","71","84","57","33","88","19","208"
"157","10","true","2","0.8","0","1000","0.8","1000","888","254","86","39","78","53","311","69","0","110","0"
"158","10","true","2","0.8","0","1000","0.8","1000","905","91","5","306","417","23","44","48","62","0","4"
"159","10","true","2","0.8","0","1000","0.8","1000","883","360","142","2","26","44","51","48","0","89","238"
"160","10","true","2","0.8","0","1000","0.8","1000","877","269","92","40","59","32","142","0","261","5","100"
"161","10","true","5","0.8","0","1000","0.8","1000","894","248","3","8","114","1","239","5","38","282","62"
"162","10","true","5","0.8","0","1000","0.8","1000","906","224","174","117","90","8","36","180","19","108","44"
"163","10","true","5","0.8","0","1000","0.8","1000","896","12","47","87","46","13","54","179","469","70","23"
"164","10","true","5","0.8","0","1000","0.8","1000","896","2","109","45","78","554","0","29","39","21","123"
"165","10","true","5","0.8","0","1000","0.8","1000","883","28","28","32","67","5","232","42","30","40","496"
"166","10","true","5","0.8","0","1000","0.8","1000","893","368","227","62","86","18","176","14","4","21","24"
"167","10","true","5","0.8","0","1000","0.8","1000","886","123","21","641","51","7","41","23","76","13","4"
"168","10","true","5","0.8","0","1000","0.8","1000","900","340","15","3","294","37","96","6","179","0","30"
"169","10","true","5","0.8","0","1000","0.8","1000","881","179","2","0","8","321","7","346","104","14","19"
"170","10","true","5","0.8","0","1000","0.8","1000","900","2","338","147","1","3","30","304","118","39","18"
"171","10","true","5","0.8","0","1000","0.8","1000","885","181","147","56","215","81","22","50","90","24","134"
"172","10","true","5","0.8","0","1000","0.8","1000","887","47","130","30","1","101","0","183","172","93","243"
"173","10","true","5","0.8","0","1000","0.8","1000","896","124","100","159","153","54","48","162","33","55","112"
"174","10","true","5","0.8","0","1000","0.8","1000","912","136","215","9","20","50","40","85","366","17","62"
"175","10","true","5","0.8","0","1000","0.8","1000","891","41","81","89","33","30","201","2","226","192","105"
"176","10","true","5","0.8","0","1000","0.8","1000","879","9","212","113","23","72","317","56","63","107","28"
"177","10","true","5","0.8","0","1000","0.8","1000","880","121","33","68","118","83","260","39","216","58","4"
"178","10","true","5","0.8","0","1000","0.8","1000","872","41","264","70","100","43","47","44","48","28","315"
"179","10","true","5","0.8","0","1000","0.8","1000","882","55","222","113","57","179","71","182","2","49","70"
"180","10","true","5","0.8","0","1000","0.8","1000","897","14","364","52","0","216","16","215","18","79","26"
"181","10","true","10","0.8","0","1000","0.8","1000","886","88","46","60","12","19","8","219","253","33","262"
"182","10","true","10","0.8","0","1000","0.8","1000","895","34","1","23","134","33","194","256","241","8","76"
"183","10","true","10","0.8","0","1000","0.8","1000","881","22","31","62","54","68","150","58","73","116","366"
"184","10","true","10","0.8","0","1000","0.8","1000","896","69","11","110","85","465","27","19","50","10","154"
"185","10","true","10","0.8","0","1000","0.8","1000","894","18","36","278","262","165","24","1","19","28","169"
"186","10","true","10","0.8","0","1000","0.8","1000","876","72","60","168","284","92","98","129","51","10","36"
"187","10","true","10","0.8","0","1000","0.8","1000","890","82","24","87","44","307","25","64","88","26","253"
"188","10","true","10","0.8","0","1000","0.8","1000","896","312","123","197","16","41","113","159","28","2","9"
"189","10","true","10","0.8","0","1000","0.8","1000","888","80","34","18","278","203","5","33","77","115","157"
"190","10","true","10","0.8","0","1000","0.8","1000","890","228","51","58","6","32","18","337","189","67","14"
"191","10","true","10","0.8","0","1000","0.8","1000","878","94","42","218","9","63","189","38","13","86","248"
"192","10","true","10","0.8","0","1000","0.8","1000","877","61","293","84","101","12","217","96","16","53","67"
