"[run number]","numTechnologies","isRandom","numDomains","preferencesMinusNetwork","setupCost","ticksCount","preferredMinusOtherTech","[step]","misfits","item 0 adopters","item 1 adopters","item 2 adopters"
"3","3","false","1","0.8","0","1000","0.8","1000","661","995","3","2"
"2","3","false","1","0.8","0","1000","0.8","1000","663","986","11","3"
"1","3","false","1","0.8","0","1000","0.8","1000","657","1000","0","0"
"4","3","false","1","0.8","0","1000","0.8","1000","654","9","985","6"
"6","3","false","1","0.8","0","1000","0.8","1000","681","3","2","995"
"5","3","false","1","0.8","0","1000","0.8","1000","656","5","995","0"
"8","3","false","1","0.8","0","1000","0.8","1000","657","4","995","1"
"7","3","false","1","0.8","0","1000","0.8","1000","649","984","1","15"
"9","3","false","1","0.8","0","1000","0.8","1000","641","10","980","10"
"12","3","false","1","0.8","0","1000","0.8","1000","678","1","995","4"
"10","3","false","1","0.8","0","1000","0.8","1000","656","0","0","1000"
"11","3","false","1","0.8","0","1000","0.8","1000","676","997","0","3"
"13","3","false","1","0.8","0","1000","0.8","1000","652","10","986","4"
"15","3","false","1","0.8","0","1000","0.8","1000","671","17","983","0"
"14","3","false","1","0.8","0","1000","0.8","1000","640","10","987","3"
"16","3","false","1","0.8","0","1000","0.8","1000","663","0","0","1000"
"18","3","false","1","0.8","0","1000","0.8","1000","656","6","992","2"
"17","3","false","1","0.8","0","1000","0.8","1000","658","2","992","6"
"19","3","false","1","0.8","0","1000","0.8","1000","662","0","996","4"
"20","3","false","1","0.8","0","1000","0.8","1000","657","998","2","0"
"21","3","false","2","0.8","0","1000","0.8","1000","677","0","1000","0"
"22","3","false","2","0.8","0","1000","0.8","1000","664","0","999","1"
"23","3","false","2","0.8","0","1000","0.8","1000","661","1","997","2"
"24","3","false","2","0.8","0","1000","0.8","1000","668","0","0","1000"
"25","3","false","2","0.8","0","1000","0.8","1000","673","1","996","3"
"26","3","false","2","0.8","0","1000","0.8","1000","669","999","1","0"
"27","3","false","2","0.8","0","1000","0.8","1000","649","0","999","1"
"28","3","false","2","0.8","0","1000","0.8","1000","667","999","1","0"
"29","3","false","2","0.8","0","1000","0.8","1000","680","0","999","1"
"30","3","false","2","0.8","0","1000","0.8","1000","674","1000","0","0"
"31","3","false","2","0.8","0","1000","0.8","1000","650","1","999","0"
"32","3","false","2","0.8","0","1000","0.8","1000","669","1","998","1"
"34","3","false","2","0.8","0","1000","0.8","1000","689","0","0","1000"
"33","3","false","2","0.8","0","1000","0.8","1000","619","0","1","999"
"35","3","false","2","0.8","0","1000","0.8","1000","653","999","0","1"
"36","3","false","2","0.8","0","1000","0.8","1000","667","999","1","0"
"37","3","false","2","0.8","0","1000","0.8","1000","644","0","999","1"
"38","3","false","2","0.8","0","1000","0.8","1000","654","998","1","1"
"39","3","false","2","0.8","0","1000","0.8","1000","657","1","4","995"
"40","3","false","2","0.8","0","1000","0.8","1000","658","2","997","1"
"41","3","false","5","0.8","0","1000","0.8","1000","670","995","4","1"
"42","3","false","5","0.8","0","1000","0.8","1000","676","2","0","998"
"43","3","false","5","0.8","0","1000","0.8","1000","690","1","1","998"
"44","3","false","5","0.8","0","1000","0.8","1000","660","998","1","1"
"45","3","false","5","0.8","0","1000","0.8","1000","676","4","1","995"
"46","3","false","5","0.8","0","1000","0.8","1000","684","0","0","1000"
"47","3","false","5","0.8","0","1000","0.8","1000","675","0","3","997"
"48","3","false","5","0.8","0","1000","0.8","1000","649","4","993","3"
"49","3","false","5","0.8","0","1000","0.8","1000","655","0","0","1000"
"50","3","false","5","0.8","0","1000","0.8","1000","659","1","999","0"
"51","3","false","5","0.8","0","1000","0.8","1000","659","1","2","997"
"53","3","false","5","0.8","0","1000","0.8","1000","675","996","3","1"
"52","3","false","5","0.8","0","1000","0.8","1000","668","1","997","2"
"54","3","false","5","0.8","0","1000","0.8","1000","681","0","1000","0"
"55","3","false","5","0.8","0","1000","0.8","1000","659","1","999","0"
"57","3","false","5","0.8","0","1000","0.8","1000","662","0","999","1"
"56","3","false","5","0.8","0","1000","0.8","1000","679","0","1","999"
"58","3","false","5","0.8","0","1000","0.8","1000","664","0","998","2"
"59","3","false","5","0.8","0","1000","0.8","1000","631","1","1","998"
"60","3","false","5","0.8","0","1000","0.8","1000","633","3","995","2"
"61","3","false","10","0.8","0","1000","0.8","1000","682","1","998","1"
"62","3","false","10","0.8","0","1000","0.8","1000","659","999","1","0"
"63","3","false","10","0.8","0","1000","0.8","1000","675","994","1","5"
"64","3","false","10","0.8","0","1000","0.8","1000","663","719","3","278"
"65","3","false","10","0.8","0","1000","0.8","1000","651","0","408","592"
"66","3","false","10","0.8","0","1000","0.8","1000","655","0","999","1"
"68","3","false","10","0.8","0","1000","0.8","1000","656","1","4","995"
"67","3","false","10","0.8","0","1000","0.8","1000","659","999","0","1"
"69","3","false","10","0.8","0","1000","0.8","1000","657","2","0","998"
"70","3","false","10","0.8","0","1000","0.8","1000","648","996","3","1"
"71","3","false","10","0.8","0","1000","0.8","1000","672","0","0","1000"
"72","3","false","10","0.8","0","1000","0.8","1000","659","999","1","0"
"73","3","false","10","0.8","0","1000","0.8","1000","667","994","1","5"
"74","3","false","10","0.8","0","1000","0.8","1000","672","14","985","1"
"75","3","false","10","0.8","0","1000","0.8","1000","670","999","0","1"
"76","3","false","10","0.8","0","1000","0.8","1000","691","0","0","1000"
"77","3","false","10","0.8","0","1000","0.8","1000","646","997","2","1"
"78","3","false","10","0.8","0","1000","0.8","1000","666","2","1","997"
"79","3","false","10","0.8","0","1000","0.8","1000","644","994","2","4"
"81","3","false","25","0.8","0","1000","0.8","1000","649","41","135","824"
"80","3","false","10","0.8","0","1000","0.8","1000","691","8","992","0"
"82","3","false","25","0.8","0","1000","0.8","1000","643","933","63","4"
"83","3","false","25","0.8","0","1000","0.8","1000","659","601","5","394"
"84","3","false","25","0.8","0","1000","0.8","1000","651","2","290","708"
"85","3","false","25","0.8","0","1000","0.8","1000","659","352","642","6"
"86","3","false","25","0.8","0","1000","0.8","1000","635","449","548","3"
"87","3","false","25","0.8","0","1000","0.8","1000","654","13","3","984"
"88","3","false","25","0.8","0","1000","0.8","1000","673","403","404","193"
"89","3","false","25","0.8","0","1000","0.8","1000","673","580","420","0"
"90","3","false","25","0.8","0","1000","0.8","1000","657","964","6","30"
"91","3","false","25","0.8","0","1000","0.8","1000","653","978","16","6"
"92","3","false","25","0.8","0","1000","0.8","1000","653","495","504","1"
"93","3","false","25","0.8","0","1000","0.8","1000","651","658","335","7"
"94","3","false","25","0.8","0","1000","0.8","1000","691","0","999","1"
"95","3","false","25","0.8","0","1000","0.8","1000","648","680","2","318"
"96","3","false","25","0.8","0","1000","0.8","1000","646","8","94","898"
"97","3","false","25","0.8","0","1000","0.8","1000","647","542","4","454"
"98","3","false","25","0.8","0","1000","0.8","1000","643","154","7","839"
"99","3","false","25","0.8","0","1000","0.8","1000","657","444","1","555"
"100","3","false","25","0.8","0","1000","0.8","1000","690","204","791","5"
"101","3","false","50","0.8","0","1000","0.8","1000","652","227","486","287"
"102","3","false","50","0.8","0","1000","0.8","1000","639","360","531","109"
"103","3","false","50","0.8","0","1000","0.8","1000","642","592","403","5"
"104","3","false","50","0.8","0","1000","0.8","1000","654","474","15","511"
