"BehaviorSpace results (NetLogo 5.0.5)"
"arthur_model.nlogo"
"two-techs"
"05/25/2014 20:29:23:022 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-6","6","-6","6"
"[run number]","numTechnologies","isRandom","numDomains","preferencesMinusNetwork","setupCost","ticksCount","preferredMinusOtherTech","[step]","misfits","item 0 adopters","item 1 adopters"
"3","2","false","1","0.8","0","1000","0.8","1000","504","996","4"
"2","2","false","1","0.8","0","1000","0.8","1000","516","0","1000"
"1","2","false","1","0.8","0","1000","0.8","1000","485","9","991"
"5","2","false","1","0.8","0","1000","0.8","1000","448","19","981"
"6","2","false","1","0.8","0","1000","0.8","1000","496","17","983"
"4","2","false","1","0.8","0","1000","0.8","1000","490","6","994"
"9","2","false","1","0.8","0","1000","0.8","1000","511","996","4"
"7","2","false","1","0.8","0","1000","0.8","1000","484","10","990"
"8","2","false","1","0.8","0","1000","0.8","1000","494","25","975"
"11","2","false","1","0.8","0","1000","0.8","1000","516","8","992"
"10","2","false","1","0.8","0","1000","0.8","1000","465","993","7"
"12","2","false","1","0.8","0","1000","0.8","1000","495","994","6"
"13","2","false","1","0.8","0","1000","0.8","1000","482","991","9"
"14","2","false","1","0.8","0","1000","0.8","1000","509","997","3"
"15","2","false","1","0.8","0","1000","0.8","1000","508","995","5"
"17","2","false","1","0.8","0","1000","0.8","1000","510","997","3"
"16","2","false","1","0.8","0","1000","0.8","1000","500","0","1000"
"18","2","false","1","0.8","0","1000","0.8","1000","478","989","11"
"20","2","false","1","0.8","0","1000","0.8","1000","491","10","990"
"19","2","false","1","0.8","0","1000","0.8","1000","493","1","999"
"21","2","false","2","0.8","0","1000","0.8","1000","483","1000","0"
"22","2","false","2","0.8","0","1000","0.8","1000","522","3","997"
"23","2","false","2","0.8","0","1000","0.8","1000","527","999","1"
"24","2","false","2","0.8","0","1000","0.8","1000","512","0","1000"
"25","2","false","2","0.8","0","1000","0.8","1000","465","2","998"
"26","2","false","2","0.8","0","1000","0.8","1000","477","1000","0"
"27","2","false","2","0.8","0","1000","0.8","1000","485","999","1"
"29","2","false","2","0.8","0","1000","0.8","1000","482","2","998"
"28","2","false","2","0.8","0","1000","0.8","1000","509","998","2"
"32","2","false","2","0.8","0","1000","0.8","1000","472","1000","0"
"30","2","false","2","0.8","0","1000","0.8","1000","487","5","995"
"31","2","false","2","0.8","0","1000","0.8","1000","483","998","2"
"33","2","false","2","0.8","0","1000","0.8","1000","490","998","2"
"35","2","false","2","0.8","0","1000","0.8","1000","476","1000","0"
"34","2","false","2","0.8","0","1000","0.8","1000","498","1000","0"
"36","2","false","2","0.8","0","1000","0.8","1000","493","1","999"
"37","2","false","2","0.8","0","1000","0.8","1000","483","999","1"
"38","2","false","2","0.8","0","1000","0.8","1000","499","2","998"
"39","2","false","2","0.8","0","1000","0.8","1000","513","1","999"
"40","2","false","2","0.8","0","1000","0.8","1000","499","3","997"
"41","2","false","5","0.8","0","1000","0.8","1000","511","0","1000"
"42","2","false","5","0.8","0","1000","0.8","1000","495","2","998"
"43","2","false","5","0.8","0","1000","0.8","1000","499","999","1"
"44","2","false","5","0.8","0","1000","0.8","1000","488","997","3"
"45","2","false","5","0.8","0","1000","0.8","1000","490","999","1"
"46","2","false","5","0.8","0","1000","0.8","1000","523","998","2"
"47","2","false","5","0.8","0","1000","0.8","1000","462","0","1000"
"48","2","false","5","0.8","0","1000","0.8","1000","495","2","998"
"49","2","false","5","0.8","0","1000","0.8","1000","482","1000","0"
"50","2","false","5","0.8","0","1000","0.8","1000","485","1000","0"
