"BehaviorSpace results (NetLogo 5.0.5)"
"network_model.nlogo"
"five-techs"
"05/24/2014 20:24:56:777 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","preferredMinusOtherTech","w2","preferencesMinusNetwork","w1","randomizationLevel","ticksCount","randomize","technologiesQuantity","componentsQuantity","[step]","item 0 finalResults","item 1 finalResults","item 2 finalResults","item 3 finalResults","item 4 finalResults"
"2","0.8","0.5","0.8","1","0.3","1200","true","5","10","1200","0.6008333333333333","0.215","0.0825","0.056666666666666664","0.045"
"1","0.8","0.5","0.8","1","0.3","1200","true","5","10","1200","0.6025","0.24083333333333334","0.08916666666666667","0.03833333333333333","0.029166666666666667"
"3","0.8","0.5","0.8","1","0.3","1200","true","5","10","1200","0.5983333333333334","0.24083333333333334","0.07333333333333333","0.045","0.0425"
"4","0.8","0.5","0.8","1","0.3","1200","true","5","10","1200","0.5958333333333333","0.24666666666666667","0.08","0.03916666666666667","0.03833333333333333"
"5","0.8","0.5","0.8","1","0.3","1200","true","5","10","1200","0.6116666666666667","0.24333333333333335","0.07083333333333333","0.03833333333333333","0.035833333333333335"
"7","0.8","0.5","0.8","1","0.3","1200","true","5","20","1200","0.6166666666666667","0.23416666666666666","0.0625","0.04416666666666667","0.0425"
"6","0.8","0.5","0.8","1","0.3","1200","true","5","10","1200","0.5983333333333334","0.25333333333333335","0.08166666666666667","0.03916666666666667","0.0275"
"8","0.8","0.5","0.8","1","0.3","1200","true","5","20","1200","0.6258333333333334","0.21416666666666667","0.0975","0.03166666666666667","0.030833333333333334"
"9","0.8","0.5","0.8","1","0.3","1200","true","5","20","1200","0.6641666666666667","0.225","0.056666666666666664","0.03166666666666667","0.0225"
"10","0.8","0.5","0.8","1","0.3","1200","true","5","20","1200","0.6275","0.195","0.06916666666666667","0.05416666666666667","0.05416666666666667"
"12","0.8","0.5","0.8","1","0.3","1200","true","5","20","1200","0.5966666666666667","0.21166666666666667","0.08583333333333333","0.05416666666666667","0.051666666666666666"
"11","0.8","0.5","0.8","1","0.3","1200","true","5","20","1200","0.6483333333333333","0.21916666666666668","0.058333333333333334","0.0375","0.03666666666666667"
"13","0.8","0.5","0.8","1","0.3","1200","true","5","40","1200","0.5833333333333334","0.22416666666666665","0.075","0.059166666666666666","0.058333333333333334"
"14","0.8","0.5","0.8","1","0.3","1200","true","5","40","1200","0.6475","0.2325","0.06666666666666667","0.028333333333333332","0.025"
"15","0.8","0.5","0.8","1","0.3","1200","true","5","40","1200","0.6741666666666667","0.2225","0.06","0.025","0.018333333333333333"
"17","0.8","0.5","0.8","1","0.3","1200","true","5","40","1200","0.65","0.23","0.0775","0.025","0.0175"
"16","0.8","0.5","0.8","1","0.3","1200","true","5","40","1200","0.6533333333333333","0.1975","0.08166666666666667","0.0425","0.025"
"18","0.8","0.5","0.8","1","0.3","1200","true","5","40","1200","0.675","0.2225","0.05333333333333334","0.02666666666666667","0.0225"
"19","0.8","0.5","0.8","1","0.3","1200","true","5","60","1200","0.6291666666666667","0.25","0.08","0.021666666666666667","0.019166666666666665"
"20","0.8","0.5","0.8","1","0.3","1200","true","5","60","1200","0.6633333333333333","0.23083333333333333","0.05583333333333333","0.03166666666666667","0.018333333333333333"
"22","0.8","0.5","0.8","1","0.3","1200","true","5","60","1200","0.6941666666666667","0.22666666666666666","0.05","0.015833333333333335","0.013333333333333334"
"21","0.8","0.5","0.8","1","0.3","1200","true","5","60","1200","0.6341666666666667","0.22583333333333333","0.08416666666666667","0.03","0.025833333333333333"
"23","0.8","0.5","0.8","1","0.3","1200","true","5","60","1200","0.5775","0.21333333333333335","0.11333333333333333","0.051666666666666666","0.04416666666666667"
"25","0.8","0.5","0.8","1","0.3","1200","false","5","10","1200","0.985","0.005","0.004166666666666667","0.0033333333333333335","0.0025"
"26","0.8","0.5","0.8","1","0.3","1200","false","5","10","1200","0.9883333333333333","0.004166666666666667","0.0033333333333333335","0.0033333333333333335","8.333333333333334E-4"
"24","0.8","0.5","0.8","1","0.3","1200","true","5","60","1200","0.6216666666666667","0.21416666666666667","0.06583333333333333","0.05583333333333333","0.0425"
"27","0.8","0.5","0.8","1","0.3","1200","false","5","10","1200","0.985","0.005833333333333334","0.004166666666666667","0.0033333333333333335","0.0016666666666666668"
"29","0.8","0.5","0.8","1","0.3","1200","false","5","10","1200","0.9775","0.010833333333333334","0.005","0.005","0.0016666666666666668"
"28","0.8","0.5","0.8","1","0.3","1200","false","5","10","1200","0.9775","0.0075","0.005","0.005","0.005"
"30","0.8","0.5","0.8","1","0.3","1200","false","5","10","1200","0.9966666666666667","0.0016666666666666668","8.333333333333334E-4","8.333333333333334E-4","0"
"32","0.8","0.5","0.8","1","0.3","1200","false","5","20","1200","0.9883333333333333","0.005833333333333334","0.0033333333333333335","0.0016666666666666668","8.333333333333334E-4"
"31","0.8","0.5","0.8","1","0.3","1200","false","5","20","1200","0.9866666666666667","0.005833333333333334","0.005","0.0025","0"
"33","0.8","0.5","0.8","1","0.3","1200","false","5","20","1200","0.975","0.0075","0.006666666666666667","0.005833333333333334","0.005"
"35","0.8","0.5","0.8","1","0.3","1200","false","5","20","1200","0.9908333333333333","0.0025","0.0025","0.0025","0.0016666666666666668"
"34","0.8","0.5","0.8","1","0.3","1200","false","5","20","1200","0.99","0.005","0.004166666666666667","8.333333333333334E-4","0"
"36","0.8","0.5","0.8","1","0.3","1200","false","5","20","1200","0.9933333333333333","0.0033333333333333335","0.0025","8.333333333333334E-4","0"
"38","0.8","0.5","0.8","1","0.3","1200","false","5","40","1200","0.9875","0.005833333333333334","0.0033333333333333335","0.0016666666666666668","0.0016666666666666668"
"37","0.8","0.5","0.8","1","0.3","1200","false","5","40","1200","0.9908333333333333","0.005","0.0033333333333333335","8.333333333333334E-4","0"
"39","0.8","0.5","0.8","1","0.3","1200","false","5","40","1200","0.9783333333333334","0.0075","0.006666666666666667","0.005","0.0025"
"40","0.8","0.5","0.8","1","0.3","1200","false","5","40","1200","0.9541666666666667","0.0125","0.011666666666666667","0.011666666666666667","0.01"
"41","0.8","0.5","0.8","1","0.3","1200","false","5","40","1200","0.9883333333333333","0.005","0.0033333333333333335","0.0025","8.333333333333334E-4"
"42","0.8","0.5","0.8","1","0.3","1200","false","5","40","1200","0.9958333333333333","0.0016666666666666668","0.0016666666666666668","8.333333333333334E-4","0"
"43","0.8","0.5","0.8","1","0.3","1200","false","5","60","1200","0.9883333333333333","0.004166666666666667","0.004166666666666667","0.0016666666666666668","0.0016666666666666668"
"44","0.8","0.5","0.8","1","0.3","1200","false","5","60","1200","0.99","0.0033333333333333335","0.0033333333333333335","0.0016666666666666668","0.0016666666666666668"
"45","0.8","0.5","0.8","1","0.3","1200","false","5","60","1200","0.9916666666666667","0.004166666666666667","0.0025","0.0016666666666666668","0"
