"BehaviorSpace results (NetLogo 5.0.5)"
"network_model.nlogo"
"three-techs"
"05/24/2014 20:21:02:117 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","preferredMinusOtherTech","w2","preferencesMinusNetwork","w1","randomizationLevel","ticksCount","randomize","technologiesQuantity","componentsQuantity","[step]","item 0 finalResults","item 1 finalResults","item 2 finalResults"
"2","0.8","0.5","0.8","1","0.3","1200","true","3","6","1200","0.36","0.335","0.305"
"1","0.8","0.5","0.8","1","0.3","1200","true","3","6","1200","0.61","0.19666666666666666","0.19333333333333333"
"3","0.8","0.5","0.8","1","0.3","1200","true","3","6","1200","0.4816666666666667","0.2758333333333333","0.2425"
"5","0.8","0.5","0.8","1","0.3","1200","true","3","6","1200","0.35083333333333333","0.3283333333333333","0.32083333333333336"
"4","0.8","0.5","0.8","1","0.3","1200","true","3","6","1200","0.44333333333333336","0.2991666666666667","0.2575"
"6","0.8","0.5","0.8","1","0.3","1200","true","3","6","1200","0.5141666666666667","0.24833333333333332","0.2375"
"8","0.8","0.5","0.8","1","0.3","1200","true","3","12","1200","0.6425","0.20583333333333334","0.15166666666666667"
"7","0.8","0.5","0.8","1","0.3","1200","true","3","12","1200","0.6541666666666667","0.17416666666666666","0.17166666666666666"
"9","0.8","0.5","0.8","1","0.3","1200","true","3","12","1200","0.5758333333333333","0.22083333333333333","0.20333333333333334"
"11","0.8","0.5","0.8","1","0.3","1200","true","3","12","1200","0.6625","0.19333333333333333","0.14416666666666667"
"10","0.8","0.5","0.8","1","0.3","1200","true","3","12","1200","0.6333333333333333","0.19833333333333333","0.16833333333333333"
"12","0.8","0.5","0.8","1","0.3","1200","true","3","12","1200","0.5883333333333334","0.20583333333333334","0.20583333333333334"
"14","0.8","0.5","0.8","1","0.3","1200","true","3","25","1200","0.6858333333333333","0.175","0.13916666666666666"
"13","0.8","0.5","0.8","1","0.3","1200","true","3","25","1200","0.575","0.22333333333333333","0.20166666666666666"
"15","0.8","0.5","0.8","1","0.3","1200","true","3","25","1200","0.4816666666666667","0.27416666666666667","0.24416666666666667"
"16","0.8","0.5","0.8","1","0.3","1200","true","3","25","1200","0.6391666666666667","0.18666666666666668","0.17416666666666666"
"17","0.8","0.5","0.8","1","0.3","1200","true","3","25","1200","0.6091666666666666","0.20916666666666667","0.18166666666666667"
"18","0.8","0.5","0.8","1","0.3","1200","true","3","25","1200","0.62","0.19416666666666665","0.18583333333333332"
"19","0.8","0.5","0.8","1","0.3","1200","true","3","50","1200","0.6116666666666667","0.1975","0.19083333333333333"
"21","0.8","0.5","0.8","1","0.3","1200","true","3","50","1200","0.6433333333333333","0.19166666666666668","0.165"
"20","0.8","0.5","0.8","1","0.3","1200","true","3","50","1200","0.57","0.22166666666666668","0.20833333333333334"
"22","0.8","0.5","0.8","1","0.3","1200","true","3","50","1200","0.6216666666666667","0.2","0.17833333333333334"
"23","0.8","0.5","0.8","1","0.3","1200","true","3","50","1200","0.6308333333333334","0.205","0.16416666666666666"
"25","0.8","0.5","0.8","1","0.3","1200","false","3","6","1200","0.9933333333333333","0.005","0.0016666666666666668"
"24","0.8","0.5","0.8","1","0.3","1200","true","3","50","1200","0.71","0.1975","0.0925"
"27","0.8","0.5","0.8","1","0.3","1200","false","3","6","1200","0.9916666666666667","0.006666666666666667","0.0016666666666666668"
"26","0.8","0.5","0.8","1","0.3","1200","false","3","6","1200","0.9958333333333333","0.0033333333333333335","8.333333333333334E-4"
"28","0.8","0.5","0.8","1","0.3","1200","false","3","6","1200","0.995","0.0033333333333333335","0.0016666666666666668"
"30","0.8","0.5","0.8","1","0.3","1200","false","3","6","1200","0.995","0.0033333333333333335","0.0016666666666666668"
"29","0.8","0.5","0.8","1","0.3","1200","false","3","6","1200","0.9991666666666666","8.333333333333334E-4","0"
"31","0.8","0.5","0.8","1","0.3","1200","false","3","12","1200","0.9983333333333333","0.0016666666666666668","0"
"33","0.8","0.5","0.8","1","0.3","1200","false","3","12","1200","0.985","0.008333333333333333","0.006666666666666667"
"32","0.8","0.5","0.8","1","0.3","1200","false","3","12","1200","0.9891666666666666","0.008333333333333333","0.0025"
"34","0.8","0.5","0.8","1","0.3","1200","false","3","12","1200","0.9533333333333334","0.023333333333333334","0.023333333333333334"
"36","0.8","0.5","0.8","1","0.3","1200","false","3","12","1200","0.99","0.006666666666666667","0.0033333333333333335"
"35","0.8","0.5","0.8","1","0.3","1200","false","3","12","1200","0.9975","0.0025","0"
"37","0.8","0.5","0.8","1","0.3","1200","false","3","25","1200","0.9916666666666667","0.005","0.0033333333333333335"
"38","0.8","0.5","0.8","1","0.3","1200","false","3","25","1200","0.995","0.005","0"
"39","0.8","0.5","0.8","1","0.3","1200","false","3","25","1200","0.995","0.0025","0.0025"
"40","0.8","0.5","0.8","1","0.3","1200","false","3","25","1200","0.99","0.009166666666666667","8.333333333333334E-4"
"41","0.8","0.5","0.8","1","0.3","1200","false","3","25","1200","0.9908333333333333","0.008333333333333333","8.333333333333334E-4"
"42","0.8","0.5","0.8","1","0.3","1200","false","3","25","1200","0.9833333333333333","0.011666666666666667","0.005"
"43","0.8","0.5","0.8","1","0.3","1200","false","3","50","1200","0.9966666666666667","0.0033333333333333335","0"
"44","0.8","0.5","0.8","1","0.3","1200","false","3","50","1200","0.9966666666666667","0.0033333333333333335","0"
"45","0.8","0.5","0.8","1","0.3","1200","false","3","50","1200","0.9983333333333333","0.0016666666666666668","0"
"47","0.8","0.5","0.8","1","0.3","1200","false","3","50","1200","0.9766666666666667","0.011666666666666667","0.011666666666666667"
"46","0.8","0.5","0.8","1","0.3","1200","false","3","50","1200","0.9891666666666666","0.01","8.333333333333334E-4"
"48","0.8","0.5","0.8","1","0.3","1200","false","3","50","1200","0.9833333333333333","0.01","0.006666666666666667"
