"BehaviorSpace results (NetLogo 5.0.5)"
"network_model.nlogo"
"two-techs"
"05/24/2014 20:19:31:331 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","preferredMinusOtherTech","w2","preferencesMinusNetwork","w1","randomizationLevel","ticksCount","randomize","technologiesQuantity","componentsQuantity","[step]","item 0 finalResults","item 1 finalResults"
"2","0.8","0.5","0.8","1","0.1","1200","true","2","4","1200","0.5033333333333333","0.49666666666666665"
"1","0.8","0.5","0.8","1","0.1","1200","true","2","4","1200","0.5058333333333334","0.49416666666666664"
"3","0.8","0.5","0.8","1","0.1","1200","true","2","4","1200","0.5083333333333333","0.49166666666666664"
"5","0.8","0.5","0.8","1","0.1","1200","true","2","4","1200","0.5033333333333333","0.49666666666666665"
"4","0.8","0.5","0.8","1","0.1","1200","true","2","4","1200","0.515","0.485"
"6","0.8","0.5","0.8","1","0.1","1200","true","2","4","1200","0.5125","0.4875"
"8","0.8","0.5","0.8","1","0.1","1200","true","2","8","1200","0.5241666666666667","0.47583333333333333"
"7","0.8","0.5","0.8","1","0.1","1200","true","2","8","1200","0.55","0.45"
"9","0.8","0.5","0.8","1","0.1","1200","true","2","8","1200","0.5466666666666666","0.4533333333333333"
"11","0.8","0.5","0.8","1","0.1","1200","true","2","8","1200","0.5658333333333333","0.43416666666666665"
"10","0.8","0.5","0.8","1","0.1","1200","true","2","8","1200","0.5608333333333333","0.43916666666666665"
"12","0.8","0.5","0.8","1","0.1","1200","true","2","8","1200","0.555","0.445"
"14","0.8","0.5","0.8","1","0.1","1200","true","2","14","1200","0.625","0.375"
"13","0.8","0.5","0.8","1","0.1","1200","true","2","14","1200","0.5566666666666666","0.44333333333333336"
"15","0.8","0.5","0.8","1","0.1","1200","true","2","14","1200","0.595","0.405"
"17","0.8","0.5","0.8","1","0.1","1200","true","2","14","1200","0.535","0.465"
"16","0.8","0.5","0.8","1","0.1","1200","true","2","14","1200","0.5783333333333334","0.4216666666666667"
"18","0.8","0.5","0.8","1","0.1","1200","true","2","14","1200","0.58","0.42"
"20","0.8","0.5","0.8","1","0.1","1200","true","2","20","1200","0.6391666666666667","0.36083333333333334"
"19","0.8","0.5","0.8","1","0.1","1200","true","2","20","1200","0.5925","0.4075"
"21","0.8","0.5","0.8","1","0.1","1200","true","2","20","1200","0.6358333333333334","0.3641666666666667"
"22","0.8","0.5","0.8","1","0.1","1200","true","2","20","1200","0.66","0.34"
"23","0.8","0.5","0.8","1","0.1","1200","true","2","20","1200","0.5825","0.4175"
"25","0.8","0.5","0.8","1","0.1","1200","false","2","4","1200","0.9716666666666667","0.028333333333333332"
"26","0.8","0.5","0.8","1","0.1","1200","false","2","4","1200","0.9891666666666666","0.010833333333333334"
"27","0.8","0.5","0.8","1","0.1","1200","false","2","4","1200","0.9916666666666667","0.008333333333333333"
"24","0.8","0.5","0.8","1","0.1","1200","true","2","20","1200","0.6158333333333333","0.38416666666666666"
"28","0.8","0.5","0.8","1","0.1","1200","false","2","4","1200","0.9775","0.0225"
"30","0.8","0.5","0.8","1","0.1","1200","false","2","4","1200","1","0"
"29","0.8","0.5","0.8","1","0.1","1200","false","2","4","1200","0.9875","0.0125"
"31","0.8","0.5","0.8","1","0.1","1200","false","2","8","1200","0.995","0.005"
"33","0.8","0.5","0.8","1","0.1","1200","false","2","8","1200","0.9816666666666667","0.018333333333333333"
"32","0.8","0.5","0.8","1","0.1","1200","false","2","8","1200","0.9933333333333333","0.006666666666666667"
"34","0.8","0.5","0.8","1","0.1","1200","false","2","8","1200","0.9916666666666667","0.008333333333333333"
"36","0.8","0.5","0.8","1","0.1","1200","false","2","8","1200","0.9958333333333333","0.004166666666666667"
"35","0.8","0.5","0.8","1","0.1","1200","false","2","8","1200","0.9766666666666667","0.023333333333333334"
"37","0.8","0.5","0.8","1","0.1","1200","false","2","14","1200","0.995","0.005"
"38","0.8","0.5","0.8","1","0.1","1200","false","2","14","1200","1","0"
"39","0.8","0.5","0.8","1","0.1","1200","false","2","14","1200","0.985","0.015"
"41","0.8","0.5","0.8","1","0.1","1200","false","2","14","1200","0.9958333333333333","0.004166666666666667"
"40","0.8","0.5","0.8","1","0.1","1200","false","2","14","1200","0.9866666666666667","0.013333333333333334"
"42","0.8","0.5","0.8","1","0.1","1200","false","2","14","1200","0.9875","0.0125"
"44","0.8","0.5","0.8","1","0.1","1200","false","2","20","1200","0.9983333333333333","0.0016666666666666668"
"43","0.8","0.5","0.8","1","0.1","1200","false","2","20","1200","0.9966666666666667","0.0033333333333333335"
"45","0.8","0.5","0.8","1","0.1","1200","false","2","20","1200","0.9975","0.0025"
"47","0.8","0.5","0.8","1","0.1","1200","false","2","20","1200","0.9958333333333333","0.004166666666666667"
"46","0.8","0.5","0.8","1","0.1","1200","false","2","20","1200","0.9908333333333333","0.009166666666666667"
"48","0.8","0.5","0.8","1","0.1","1200","false","2","20","1200","0.9533333333333334","0.04666666666666667"
